sku,salesdate,price,unitsordered,sales,cogs,fba,reffee,adspend,profit,comp_1_price,comp_2_price,comp_data_min_price,comp_data_max_price,managed_fba_stock_level,min_price,max_price,avg_price_per_unit
Envelopes SKU 11,2022-08-06,26.99,2,54.0,19.0,16.0,8.0,8.0,3.0,26.28,25.92,24.75,29.15,153.0,23.99,32.99,27.0
Envelopes SKU 11,2022-08-07,26.99,3,81.0,28.0,25.0,12.0,2.0,14.0,26.28,25.92,24.75,29.15,139.0,23.99,32.99,27.0
Envelopes SKU 11,2022-08-08,26.69,4,107.0,38.0,33.0,16.0,15.0,5.0,26.28,25.92,24.75,29.15,125.0,23.99,32.99,26.75
Envelopes SKU 11,2022-08-09,20.19,4,81.0,38.0,33.0,12.0,22.0,-24.0,26.28,25.92,24.75,29.15,112.0,23.99,32.99,20.25
Envelopes SKU 11,2022-08-12,25.89,14,362.0,133.0,115.0,54.0,9.0,51.0,26.28,25.92,24.75,29.15,64.0,23.99,32.99,25.857142857142858
Envelopes SKU 11,2022-08-13,26.99,8,216.0,76.0,66.0,32.0,2.0,40.0,26.28,25.92,24.75,29.15,777.0,23.99,32.99,27.0
Envelopes SKU 11,2022-08-15,26.29,11,289.0,104.0,90.0,43.0,8.0,44.0,26.28,25.92,24.75,29.15,772.0,23.99,32.99,26.272727272727273
Envelopes SKU 11,2022-08-20,26.99,5,135.0,47.0,41.0,20.0,6.0,21.0,26.28,25.92,24.75,29.15,633.0,23.99,32.99,27.0
Envelopes SKU 11,2022-08-21,26.99,1,27.0,9.0,8.0,4.0,4.0,2.0,26.28,25.92,24.75,29.15,620.0,23.99,32.99,27.0
Envelopes SKU 11,2022-08-23,26.89,18,484.0,171.0,148.0,73.0,30.0,62.0,26.28,25.92,24.75,29.15,572.0,23.99,32.99,26.88888888888889
Envelopes SKU 11,2022-08-26,26.19,9,236.0,85.0,74.0,35.0,9.0,33.0,26.28,25.92,24.75,29.15,458.0,23.99,32.99,26.22222222222222
Envelopes SKU 11,2022-08-27,26.99,1,27.0,9.0,8.0,4.0,4.0,2.0,26.28,25.92,24.75,29.15,397.0,23.99,32.99,27.0
Envelopes SKU 11,2022-08-28,26.99,1,27.0,9.0,8.0,4.0,0.0,6.0,26.28,25.92,24.75,29.15,201.0,23.99,32.99,27.0
Envelopes SKU 11,2022-09-04,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,26.28,25.92,24.75,29.15,1365.0,23.99,32.99,25.666666666666668
Envelopes SKU 11,2022-09-05,26.99,3,81.0,28.0,25.0,12.0,4.0,12.0,26.28,25.92,24.75,29.15,1359.0,23.99,32.99,27.0
Envelopes SKU 11,2022-09-10,24.99,3,75.0,28.0,25.0,11.0,7.0,4.0,26.28,25.92,24.75,29.15,674.0,23.99,32.99,25.0
Envelopes SKU 11,2022-09-11,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,26.28,25.92,24.75,29.15,674.0,23.99,32.99,25.666666666666668
Envelopes SKU 11,2022-09-16,24.89,23,572.0,218.0,189.0,86.0,13.0,66.0,26.28,25.92,24.75,29.15,674.0,23.99,32.99,24.869565217391305
Envelopes SKU 11,2022-09-17,0.0,0,0.0,0.0,0.0,0.0,8.0,-8.0,26.28,25.92,24.75,29.15,674.0,23.99,32.99,25.666666666666668
Envelopes SKU 11,2022-09-18,24.99,1,25.0,9.0,8.0,4.0,3.0,1.0,26.28,25.92,24.75,29.15,674.0,23.99,32.99,25.0
Envelopes SKU 11,2022-09-20,24.39,17,415.0,161.0,140.0,62.0,25.0,27.0,26.28,25.92,24.75,29.15,674.0,23.99,32.99,24.41176470588235
Envelopes SKU 11,2022-09-24,24.99,1,25.0,9.0,8.0,4.0,6.0,-2.0,26.28,25.92,24.75,29.15,1104.0,23.99,32.99,25.0
Envelopes SKU 11,2022-09-25,24.79,8,198.0,76.0,66.0,30.0,5.0,21.0,26.28,25.92,24.75,29.15,1002.0,23.99,32.99,24.75
Envelopes SKU 11,2022-09-27,24.89,19,473.0,180.0,156.0,71.0,20.0,46.0,26.28,25.92,24.75,29.15,972.0,23.99,32.99,24.894736842105264
Envelopes SKU 11,2022-09-29,24.89,19,473.0,180.0,156.0,71.0,11.0,55.0,26.28,25.92,24.75,29.15,912.0,23.99,32.99,24.894736842105264
Envelopes SKU 11,2022-10-01,0.0,0,0.0,0.0,0.0,0.0,5.0,-5.0,26.28,25.92,24.75,29.15,871.0,23.99,32.99,25.666666666666668
Envelopes SKU 11,2022-10-02,24.99,3,75.0,28.0,25.0,11.0,4.0,7.0,26.28,25.92,24.75,29.15,852.0,23.99,32.99,25.0
Envelopes SKU 11,2022-10-03,24.99,4,100.0,38.0,33.0,15.0,18.0,-4.0,26.28,25.92,24.75,29.15,836.0,23.99,32.99,25.0
Envelopes SKU 11,2022-10-24,24.89,18,448.0,171.0,148.0,67.0,5.0,57.0,26.28,25.92,24.75,29.15,1027.0,23.99,32.99,24.88888888888889
Envelopes SKU 11,2022-10-29,24.99,1,25.0,9.0,8.0,4.0,0.0,4.0,26.28,25.92,24.75,29.15,1159.0,23.99,32.99,25.0
Envelopes SKU 11,2022-11-19,24.99,10,250.0,95.0,82.0,38.0,9.0,26.0,26.28,25.92,24.75,29.15,828.0,23.99,32.99,25.0
Envelopes SKU 11,2022-11-20,24.99,1,25.0,9.0,8.0,4.0,5.0,-1.0,26.28,25.92,24.75,29.15,799.0,23.99,32.99,25.0
Envelopes SKU 11,2022-11-23,23.19,14,325.0,133.0,115.0,49.0,10.0,18.0,26.28,25.92,24.75,29.15,964.0,23.99,32.99,23.214285714285715
Envelopes SKU 11,2022-11-26,24.99,2,50.0,19.0,16.0,8.0,3.0,4.0,26.28,25.92,24.75,29.15,1325.0,23.99,32.99,25.0
Envelopes SKU 11,2022-11-27,24.99,1,25.0,9.0,8.0,4.0,7.0,-3.0,26.28,25.92,24.75,29.15,1325.0,23.99,32.99,25.0
Envelopes SKU 11,2022-11-28,24.89,15,373.0,142.0,123.0,56.0,25.0,27.0,26.28,25.92,24.75,29.15,1325.0,23.99,32.99,24.866666666666667
Envelopes SKU 11,2022-11-29,23.59,19,448.0,180.0,156.0,67.0,15.0,30.0,26.28,25.92,24.75,29.15,1325.0,23.99,32.99,23.57894736842105
Envelopes SKU 11,2022-12-19,24.89,4,100.0,38.0,33.0,15.0,21.0,-7.0,26.28,25.92,24.75,29.15,1351.0,23.99,32.99,25.0
Envelopes SKU 11,2022-12-20,24.79,11,273.0,104.0,90.0,41.0,31.0,7.0,26.28,25.92,24.75,29.15,1261.0,23.99,32.99,24.818181818181817
Envelopes SKU 11,2022-12-22,24.59,7,172.0,66.0,58.0,26.0,30.0,-8.0,26.28,25.92,24.75,29.15,1213.0,23.99,32.99,24.571428571428573
Envelopes SKU 11,2022-12-23,24.99,1,25.0,9.0,8.0,4.0,4.0,0.0,26.28,25.92,24.75,29.15,1211.0,23.99,32.99,25.0
Envelopes SKU 11,2022-12-24,24.99,1,25.0,9.0,8.0,4.0,2.0,2.0,26.28,25.92,24.75,29.15,1202.0,23.99,32.99,25.0
Envelopes SKU 11,2022-12-25,0.0,0,0.0,0.0,0.0,0.0,2.0,-2.0,26.28,25.92,24.75,29.15,1191.0,23.99,32.99,25.666666666666668
Envelopes SKU 11,2022-12-26,24.69,2,49.0,19.0,16.0,7.0,4.0,3.0,26.28,25.92,24.75,29.15,1189.0,23.99,32.99,24.5
Envelopes SKU 11,2022-12-28,24.79,9,223.0,85.0,74.0,33.0,34.0,-3.0,26.28,25.92,24.75,29.15,1156.0,23.99,32.99,24.77777777777778
Envelopes SKU 11,2022-12-29,24.79,17,421.0,161.0,140.0,63.0,32.0,25.0,26.28,25.92,24.75,29.15,1127.0,23.99,32.99,24.764705882352942
Envelopes SKU 11,2022-12-31,24.99,13,325.0,123.0,107.0,49.0,5.0,41.0,26.28,25.92,24.75,29.15,1082.0,23.99,32.99,25.0
Envelopes SKU 11,2023-01-01,24.69,3,74.0,28.0,25.0,11.0,5.0,5.0,26.28,25.92,24.75,29.15,1053.0,23.99,32.99,24.666666666666668
Envelopes SKU 11,2023-01-02,24.69,6,148.0,57.0,49.0,22.0,13.0,7.0,26.28,25.92,24.75,29.15,1048.0,23.99,32.99,24.666666666666668
Envelopes SKU 11,2023-01-05,24.49,19,465.0,180.0,156.0,70.0,27.0,32.0,26.28,25.92,24.75,29.15,1026.0,23.99,32.99,24.473684210526315
Envelopes SKU 11,2023-05-29,24.99,13,325.0,123.0,107.0,49.0,7.0,39.0,26.28,25.92,24.75,29.15,1339.0,23.99,32.99,25.0
Envelopes SKU 11,2023-05-30,25.39,13,330.0,123.0,107.0,50.0,7.0,43.0,26.28,25.92,24.75,29.15,1336.0,23.99,32.99,25.384615384615383
Envelopes SKU 11,2023-05-31,25.99,13,338.0,123.0,107.0,51.0,10.0,47.0,26.28,25.92,24.75,29.15,1317.0,23.99,32.99,26.0
Envelopes SKU 11,2023-06-02,25.29,12,303.0,114.0,99.0,45.0,8.0,37.0,26.28,25.92,24.75,29.15,1310.0,23.99,32.99,25.25
Envelopes SKU 11,2023-06-03,25.99,3,78.0,28.0,25.0,12.0,0.0,13.0,26.28,25.92,24.75,29.15,1274.0,23.99,32.99,26.0
Envelopes SKU 11,2023-06-04,25.99,2,52.0,19.0,16.0,8.0,4.0,5.0,26.28,25.92,24.75,29.15,1267.0,23.99,32.99,26.0
Envelopes SKU 11,2023-06-05,25.79,7,181.0,66.0,58.0,27.0,6.0,24.0,26.28,25.92,24.75,29.15,1249.0,23.99,32.99,25.857142857142858
Envelopes SKU 11,2023-06-06,25.29,11,278.0,104.0,90.0,42.0,20.0,22.0,26.28,25.92,24.75,29.15,1237.0,23.99,32.99,25.272727272727273
Envelopes SKU 11,2023-06-07,25.79,12,309.0,114.0,99.0,46.0,9.0,41.0,26.28,25.92,24.75,29.15,1224.0,23.99,32.99,25.75
Envelopes SKU 11,2023-06-08,25.89,15,388.0,142.0,123.0,58.0,5.0,60.0,26.28,25.92,24.75,29.15,1221.0,23.99,32.99,25.866666666666667
Envelopes SKU 11,2023-06-10,25.99,3,78.0,28.0,25.0,12.0,3.0,10.0,26.28,25.92,24.75,29.15,1203.0,23.99,32.99,26.0
Envelopes SKU 11,2023-06-11,25.99,3,78.0,28.0,25.0,12.0,2.0,11.0,26.28,25.92,24.75,29.15,1192.0,23.99,32.99,26.0
Envelopes SKU 11,2023-06-13,25.39,18,457.0,171.0,148.0,69.0,9.0,60.0,26.28,25.92,24.75,29.15,1159.0,23.99,32.99,25.38888888888889
Envelopes SKU 11,2023-06-14,25.69,15,385.0,142.0,123.0,58.0,5.0,57.0,26.28,25.92,24.75,29.15,1151.0,23.99,32.99,25.666666666666668
